format,stitch_count,width_mm,height_mm,begin_x,begin_y,end_x,end_y,thread_changes,colour_changes
10o,248,500.00,500.00,-84.00,-84.00,0.00,0.00,0,0
bro,246,500.00,501.00,6.00,1.00,0.00,0.00,0,0
col,0,inf,inf,0.00,0.00,0.00,0.00,1,0
dat,249,500.00,500.00,-84.00,-84.00,0.00,0.00,0,0
dsb,249,500.00,500.00,-84.00,-84.00,0.00,0.00,0,0
dst,324,500.00,500.00,-83.00,-83.00,0.00,0.00,0,1
dsz,249,500.00,500.00,-84.00,-84.00,0.00,0.00,1,1
edr,0,inf,inf,0.00,0.00,0.00,0.00,1,0
emd,253,500.00,500.00,0.00,0.00,0.00,0.00,0,0
exp,324,500.00,500.00,-125.00,-125.00,0.00,0.00,2,1
exy,0,inf,inf,0.00,0.00,0.00,0.00,0,0
fxy,0,inf,inf,0.00,0.00,0.00,0.00,0,0
gt,0,inf,inf,0.00,0.00,0.00,0.00,0,0
hus,15141,0.00,0.00,0.00,0.00,0.00,0.00,169,0
inb,248,500.00,500.00,-84.00,-84.00,0.00,0.00,0,0
jef,324,500.00,500.00,-125.00,-125.00,0.00,0.00,1,0
jpx,15141,0.00,0.00,0.00,0.00,0.00,0.00,19,0
ksm,15141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
max,242,1336.27,679.25,718.77,61.75,0.00,0.00,0,0
mit,259,396.00,396.00,-26.00,-26.00,0.00,0.00,0,1
new,248,500.00,500.00,-84.00,-84.00,0.00,0.00,0,1
pcd,15141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
pcm,15141,0.00,0.00,0.00,0.00,0.00,0.00,19,0
pcq,15141,0.00,0.00,0.00,0.00,0.00,0.00,19,0
pcs,15141,0.00,0.00,0.00,0.00,0.00,0.00,19,0
pec,Bean.pec,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
pes,Bean.pes,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
phb,15141,0.00,0.00,0.00,0.00,0.00,0.00,19,0
phc,15141,0.00,0.00,0.00,0.00,0.00,0.00,19,0
sew,10924,34.00,4.00,34.00,1.00,0.00,0.00,12,11
shv,15141,0.00,0.00,0.00,0.00,0.00,0.00,19,0
stc,248,500.00,500.00,-84.00,-84.00,0.00,0.00,0,0
stx,248,500.00,500.00,-84.00,-84.00,0.00,0.00,0,0
tap,249,500.00,500.00,-84.00,-84.00,0.00,0.00,0,0
tbf,15141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
vp3,15141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
xxx,15141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
zhs,15141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
zxy,15141,0.00,0.00,0.00,0.00,0.00,0.00,0,0
